Wall time,Step,Value
1651562562.99915,34400,1.5770257277836208e-07
1651562568.702576,34450,-2.0307095383031992e-07
1651562591.770973,34600,-1.386817274351415e-07
1651562619.784845,34800,-7.510478639005669e-08
1651562639.526096,34950,-1.2088828782452765e-07
1651562649.241972,35000,1.2676350991114305e-07
1651562655.142591,35050,4.3805137295294116e-08
1651562667.351398,35150,-2.480773275692627e-07
1651562673.454898,35200,-6.628678050901726e-08
1651562679.846943,35250,-0.0
1651562687.549758,35300,5.298190686175985e-08
1651562699.920998,35400,-1.288749018613089e-07
1651562706.961216,35450,2.150523137345317e-08
1651562713.690068,35500,1.7357464798806177e-07
1651562741.593742,35700,6.230902727111243e-08
1651562767.12387,35900,-6.912248551316225e-08
1651562773.36812,35950,-1.357543499835856e-08
1651562788.490441,36050,4.118859209256698e-08
1651562797.282409,36100,-4.8698261423396616e-08
1651562804.10253,36150,-1.3467598591887509e-08
1651562810.135081,36200,-3.4997221121102484e-08
1651562815.29142,36250,1.6841930516875436e-08
1651562822.536784,36300,2.344949479038405e-07
1651562841.657886,36450,3.528496961280325e-08
1651562849.40511,36500,1.0786137316642908e-08
1651562890.827728,36800,7.413722613591744e-08
1651562905.621655,36900,1.8234690424279165e-09
1651562911.71141,36950,1.2536563076537277e-07
1651562919.414826,37000,1.8042487681668717e-07
1651562925.679327,37050,-1.1209553463231714e-07
1651562938.289549,37150,-1.3495391470996765e-08
1651562958.70553,37300,-4.191975122580516e-08
1651562963.728503,37350,-7.878690411189382e-08
1651562984.871712,37500,-1.096362680641505e-07
1651562992.225344,37550,7.082138608893729e-08
1651563000.116417,37600,-5.3477062778028994e-09
1651563013.20713,37700,1.6999541330164902e-08
1651563025.658836,37800,-6.1926904493248e-08
1651563048.01452,37950,-1.6136750957684853e-07
1651563055.618802,38000,-1.0735545430407001e-07
1651563068.627124,38100,1.1681369471716607e-07
1651563089.564471,38250,1.591074152429428e-07
1651563098.041003,38300,1.288749107430931e-08
1651563103.703396,38350,7.88396121720325e-08
1651563117.971162,38450,2.113594490538162e-07
1651563126.167911,38500,2.7223530096875947e-08
1651563132.498069,38550,3.227036771136227e-08
1651563144.999337,38650,-8.95819312063395e-08
1651563152.389998,38700,-3.991721442275775e-08
1651563159.369229,38750,-1.4389050306817808e-07
1651563194.637644,39000,6.060137991426018e-08
1651563219.254931,39200,3.398394099463076e-08
1651563224.705864,39250,2.716348035392002e-07
1651563242.089304,39350,-1.0926681426326468e-07
1651563258.012043,39450,6.222555981594269e-08
1651563272.766541,39550,1.1829929746909329e-07
1651563280.872777,39600,-1.505801492385217e-07
1651563285.731114,39650,-1.2618590972124366e-07
1651563293.66042,39700,2.1633443481050563e-08
1651563299.870803,39750,-0.0
1651563306.752311,39800,1.7862144829905446e-07
1651563319.809159,39900,-2.1550823703364586e-07
1651563332.65551,40000,-3.87278902280741e-08
1651563344.500126,40100,9.833222236466099e-08
1651563362.72585,40250,7.857254757936971e-08
1651563376.475733,40350,4.9565365145554097e-08
1651563383.218626,40400,-1.1961707002683397e-07
1651563388.830248,40450,-4.7542499714836595e-08
1651563415.434028,40650,-9.368589104497005e-08
1651563427.152054,40750,8.091782177643836e-08
1651563434.90616,40800,-9.562129577034284e-08
1651563447.819938,40900,5.2103182213159016e-08
1651563466.392248,41050,-2.2833069124317262e-07
1651563480.12993,41150,-3.267406611939805e-08
1651563487.010741,41200,-6.29228438242535e-08
1651563493.301592,41250,-1.0250626303331956e-07
1651563513.641848,41400,3.112409956429474e-07
1651563531.685579,41550,9.52792120756385e-08
1651563539.102015,41600,-7.451966865801296e-08
1651563551.866559,41700,-1.9629024450296129e-07
1651563565.869137,41800,2.849447078290268e-08
1651563578.001188,41900,-1.3541014531881501e-08
1651563608.829277,42150,6.634255811377443e-08
1651563622.515518,42250,1.4891260491367575e-07
1651563631.630013,42300,-1.2569019247621327e-07
1651563636.374053,42350,1.7013907438467868e-07
1651563643.289277,42400,5.0654815453299307e-08
1651563662.319254,42550,7.451966865801296e-08
1651563703.157336,42850,-5.118378254564959e-08
1651563714.78338,42950,4.0668415302036465e-09
1651563723.941444,43000,-6.263380925020101e-08
1651563729.306581,43050,7.930763601393664e-09
1651563737.880863,43100,2.6931001428920354e-08
1651563743.403052,43150,-2.3064933429850498e-07
1651563772.408372,43350,1.449077728921111e-07
1651563786.587175,43450,-2.6793308904871083e-08
1651563794.715065,43500,-2.3778166280408186e-07
1651563811.214457,43650,2.3659161740852142e-07
1651563821.120287,43700,1.374230151895972e-07
1651563826.427225,43750,-1.776155329480389e-07
1651563833.486032,43800,8.607521806425211e-08
1651563840.981797,43850,9.253177779555699e-08
1651563857.052348,43950,-1.0186975885062566e-07
1651563867.246296,44000,1.1809196820422585e-07
1651563872.686282,44050,5.483137854866982e-08
1651563881.942542,44100,-6.217925285767478e-09
1651563896.968929,44200,-1.1382007869542576e-07
1651563918.342274,44350,1.775156164285363e-07
1651563933.80209,44450,1.1168505409386853e-07
1651563940.95721,44500,-4.69501202360334e-08
1651563952.552279,44600,-1.6433055805009644e-08
1651563958.942901,44650,9.69554960761343e-08
1651563983.621051,44800,9.275859724766633e-08
1651563989.886468,44850,2.3714814290087816e-07
1651564003.532828,44950,4.455621294141565e-08
1651564011.66757,45000,7.750710295795216e-08
1651564061.377513,45350,1.2765718793161795e-07
1651564068.894486,45400,-5.7220457705398076e-08
1651564075.543493,45450,5.821351223289639e-08
1651564081.785673,45500,1.0119727278379287e-07
1651564087.469969,45550,1.493032186772325e-08
1651564094.618954,45600,-1.4757049804359212e-08
1651564099.876398,45650,6.884273062723878e-08
1651564114.371994,45750,7.102617161081071e-08
1651564121.428553,45800,-0.0
