Wall time,Step,Value
1651560193.779818,16100,376.0
1651560211.552993,16250,318.6666564941406
1651560218.046019,16300,339.6666564941406
1651560222.570885,16350,277.0
1651560242.661851,16500,337.6666564941406
1651560248.289188,16550,311.0
1651560260.688028,16650,337.0
1651560298.390807,16950,377.3333435058594
1651560311.084882,17050,337.3333435058594
1651560330.076793,17200,352.3333435058594
1651560335.872255,17250,346.6666564941406
1651560348.890698,17350,281.3333435058594
1651560354.574554,17400,296.6666564941406
1651560383.866375,17650,300.3333435058594
1651560390.104096,17700,312.0
1651560402.009621,17800,333.0
1651560415.410535,17900,362.3333435058594
1651560420.444904,17950,279.3333435058594
1651560426.200796,18000,297.3333435058594
1651560443.651901,18150,327.0
1651560450.33315,18200,346.3333435058594
1651560468.244691,18350,304.0
1651560475.529416,18400,361.6666564941406
1651560488.105118,18500,341.3333435058594
1651560493.905301,18550,351.0
1651560507.114623,18650,379.0
1651560532.256143,18850,345.0
1651560538.812785,18900,343.6666564941406
1651560544.711322,18950,357.6666564941406
1651560556.636675,19050,336.6666564941406
1651560562.866688,19100,300.6666564941406
1651560581.767686,19250,323.6666564941406
1651560589.106132,19300,382.0
1651560595.955899,19350,391.3333435058594
1651560601.62113,19400,293.6666564941406
1651560613.785868,19500,324.6666564941406
1651560619.911805,19550,350.6666564941406
1651560625.416218,19600,284.3333435058594
1651560631.37111,19650,329.6666564941406
1651560690.382549,20100,387.3333435058594
1651560696.316887,20150,357.0
1651560709.104226,20250,322.3333435058594
1651560728.04783,20400,284.6666564941406
1651560769.118254,20750,323.3333435058594
1651560775.488646,20800,330.6666564941406
1651560801.209871,21000,343.0
1651560806.807784,21050,338.6666564941406
1651560813.335605,21100,320.3333435058594
1651560826.093786,21200,366.3333435058594
1651560838.074587,21300,308.3333435058594
1651560863.036775,21500,327.6666564941406
1651560920.377565,21950,310.0
1651560927.100047,22000,350.3333435058594
1651560933.281393,22050,351.3333435058594
1651560939.472218,22100,321.0
1651560951.760412,22200,310.3333435058594
1651560955.947948,22250,250.6666717529297
1651560975.48607,22400,333.3333435058594
1651560993.254143,22550,334.0
1651561042.991389,22900,377.3333435058594
1651561049.290728,22950,378.0
1651561056.540162,23000,374.0
1651561062.217257,23050,316.0
1651561075.098556,23150,375.3333435058594
1651561082.220133,23200,350.6666564941406
1651561089.008497,23250,375.6666564941406
1651561101.387445,23350,307.3333435058594
1651561109.316199,23400,382.3333435058594
1651561115.188578,23450,357.0
1651561129.398122,23550,394.3333435058594
1651561144.032733,23650,418.6666564941406
1651561151.156546,23700,368.3333435058594
